function,num_times,n_elements,sizeof,max_mibytes_per_sec,min_runtime,max_runtime,avg_runtime
Copy,100,4194304,4,830715.714,0.000,0.000,0.000
Mul,100,4194304,4,778892.026,0.000,0.000,0.000
Add,100,4194304,4,903019.471,0.000,0.000,0.000
Triad,100,4194304,4,943655.880,0.000,0.000,0.000
Dot,100,4194304,4,500078.137,0.000,0.000,0.000
Copy,100,8388608,4,912616.929,0.000,0.000,0.000
Mul,100,8388608,4,840402.343,0.000,0.000,0.000
Add,100,8388608,4,1034271.001,0.000,0.000,0.000
Triad,100,8388608,4,1076679.789,0.000,0.000,0.000
Dot,100,8388608,4,632717.422,0.000,0.000,0.000
Copy,100,12582912,4,942359.039,0.000,0.000,0.000
Mul,100,12582912,4,890480.210,0.000,0.000,0.000
Add,100,12582912,4,1104836.730,0.000,0.000,0.000
Triad,100,12582912,4,1128172.987,0.000,0.000,0.000
Dot,100,12582912,4,713876.722,0.000,0.000,0.000
Copy,100,16777216,4,1124375.225,0.000,0.000,0.000
Mul,100,16777216,4,1077776.749,0.000,0.000,0.000
Add,100,16777216,4,1214705.529,0.000,0.000,0.000
Triad,100,16777216,4,1238158.497,0.000,0.000,0.000
Dot,100,16777216,4,831876.466,0.000,0.000,0.000
Copy,100,20971520,4,1133899.338,0.000,0.000,0.000
Mul,100,20971520,4,1094893.008,0.000,0.000,0.000
Add,100,20971520,4,1242506.135,0.000,0.000,0.000
Triad,100,20971520,4,1253669.595,0.000,0.000,0.000
Dot,100,20971520,4,853415.261,0.000,0.000,0.000
Copy,100,25165824,4,1143469.716,0.000,0.000,0.000
Mul,100,25165824,4,1107943.726,0.000,0.000,0.000
Add,100,25165824,4,1254694.212,0.000,0.000,0.000
Triad,100,25165824,4,1255339.552,0.000,0.000,0.000
Dot,100,25165824,4,878196.039,0.000,0.000,0.000
Copy,100,29360128,4,1265093.583,0.000,0.000,0.000
Mul,100,29360128,4,1219200.226,0.000,0.000,0.000
Add,100,29360128,4,1260603.514,0.000,0.000,0.000
Triad,100,29360128,4,1254803.545,0.000,0.000,0.000
